State,2000,Presidential,House,2002,House,2004,Presidential,House,2006,House,2008,Presidential,House,2010,House,2012,Presidential,House,2014,House,2016,Presidential,House,2018,House,latitude,longitude
Kansas,55.6,Republican,Republican,44,Republican,61.6,Republican,Republican,43.6,Republican,62,Republican,Republican,41.7,Republican,56.9,Republican,Republican,42.5,Republican,57.7,Republican,Republican,51.2,Republican,38.484726,-98.3801727
Kentucky,52.2,Republican,Republican,37.2,Republican,58.7,Republican,Republican,40.4,Republican,57.9,Republican,Republican,42.4,Republican,55.7,Republican,Republican,44.2,Republican,58.6,Republican,Republican,48.6,Republican,37.5272331,-85.2876205
Louisiana,56.4,Republican,Republican,39.4,Republican,61.1,Republican,Republican,29.7,Republican,61.2,Republican,Republican,38.9,Republican,60.2,Republican,Republican,43.9,Republican,60,Republican,Republican,44.8,Republican,30.9665108,-91.8519058
Maine,67.2,Democrat,Democrat,50.8,Democrat,73.8,Democrat,Democrat,54.2,Democrat,70.6,Democrat,Democrat,55.2,Democrat,68.2,Democrat,Democrat,58.1,Democrat,70.7,Democrat,Democrat,60.2,Democrat,45.3152809,-69.203949
Maryland,55.5,Democrat,Democrat,46.3,Democrat,62.9,Democrat,Democrat,46.7,Democrat,67,Democrat,Democrat,46.4,Democrat,66.6,Democrat,Democrat,41.7,Democrat,66.4,Democrat,Democrat,54.2,Democrat,38.9525223,-76.7012177
Massachusetts,59.9,Democrat,Democrat,49.2,Democrat,64.2,Democrat,Democrat,48.8,Democrat,66.8,Democrat,Democrat,48.9,Democrat,65.9,Democrat,Democrat,44.1,Democrat,67.2,Democrat,Democrat,54.6,Democrat,42.1561852,-71.5661926
Michigan,59.9,Democrat,Democrat,44.5,Republican,66.6,Democrat,Republican,52.1,Republican,69.2,Democrat,Democrat,44.5,Republican,64.7,Democrat,Republican,42.7,Republican,64.7,Republican,Republican,57.8,Democrat,44.8626175,-85.7351379
Minnesota,69.5,Democrat,Democrat,64.1,Democrat,78.4,Democrat,Democrat,60.1,Democrat,77.8,Democrat,Democrat,55.4,Democrat,76,Democrat,Democrat,50.4,Democrat,74.1,Democrat,Democrat,64.2,Democrat,46.3493576,-94.1983719
Mississippi,49.1,Republican,Democrat,30.1,Republican,55.7,Republican,Republican,29.4,Republican,61,Republican,Democrat,37,Republican,59.3,Republican,Republican,29,Republican,55.2,Republican,Republican,42.7,Republican,32.7218018,-89.6562424
Missouri,58.2,Republican,Republican,45.6,Republican,65.3,Republican,Republican,50,Republican,67.6,Republican,Republican,44.5,Republican,62.2,Republican,Republican,31.7,Republican,62.2,Republican,Republican,53.4,Republican,38.3679657,-92.4778824
