State,2000,Presidential0,House0,2002,House1,2004,Presidential1,House2,2006,House3,2008,Presidential2,House4,2010,House5,2012,Presidential3,House6,2014,House7,2016,Presidential4,House8,2018,House9,latitude,longitude,name,desc,color,source,precision
Hawaii,44.2,Democrat,Democrat,43.8,Democrat,48.2,Democrat,Democrat,37.9,Democrat,48.8,Democrat,Democrat,39.9,Democrat,44.2,Democrat,Democrat,36.2,Democrat,42.3,Democrat,Democrat,39.3,Democrat,19.5985184,-155.5185547,Hawaii,Hawaii,,Bing Maps,state/province
Idaho,57.2,Republican,Republican,44.7,Republican,63.2,Republican,Republican,45.4,Republican,63.6,Republican,Republican,42.3,Republican,59.8,Republican,Republican,39.3,Republican,59.2,Republican,Republican,50,Republican,44.3890343,-114.6594162,Idaho,Idaho,,Bing Maps,state/province
Illinois,56.2,Democrat,Democrat,41.4,Republican,61.5,Democrat,Democrat,40.2,Democrat,63.6,Democrat,Democrat,42.4,Republican,58.9,Democrat,Democrat,40.2,Democrat,61.6,Democrat,Democrat,51.4,Democrat,40.1139374,-89.1587677,Illinois,Illinois,,Bing Maps,state/province
Indiana,49.3,Republican,Republican,33.9,Republican,54.8,Republican,Republican,36.6,Democrat,59.1,Democrat,Democrat,37.1,Republican,55.2,Republican,Republican,27.8,Republican,56.4,Republican,Republican,46.9,Republican,39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
Iowa,63.2,Democrat,Republican,47.9,Republican,69.9,Republican,Republican,48.1,Democrat,69.4,Democrat,Democrat,49.9,Democrat,70.3,Democrat,Democrat,49.8,Republican,68.4,Republican,Republican,57.7,Democrat,42.0746994,-93.4999695,Iowa,Iowa,,Bing Maps,state/province
Kansas,55.6,Republican,Republican,44,Republican,61.6,Republican,Republican,43.6,Republican,62,Republican,Republican,41.7,Republican,56.9,Republican,Republican,42.5,Republican,57.7,Republican,Republican,51.2,Republican,38.484726,-98.3801727,Kansas,Kansas,,Bing Maps,state/province
Kentucky,52.2,Republican,Republican,37.2,Republican,58.7,Republican,Republican,40.4,Republican,57.9,Republican,Republican,42.4,Republican,55.7,Republican,Republican,44.2,Republican,58.6,Republican,Republican,48.6,Republican,37.5272331,-85.2876205,Kentucky,Kentucky,,Bing Maps,state/province
Louisiana,56.4,Republican,Republican,39.4,Republican,61.1,Republican,Republican,29.7,Republican,61.2,Republican,Republican,38.9,Republican,60.2,Republican,Republican,43.9,Republican,60,Republican,Republican,44.8,Republican,30.9665108,-91.8519058,Louisiana,Louisiana,,Bing Maps,state/province
Maine,67.2,Democrat,Democrat,50.8,Democrat,73.8,Democrat,Democrat,54.2,Democrat,70.6,Democrat,Democrat,55.2,Democrat,68.2,Democrat,Democrat,58.1,Democrat,70.7,Democrat,Democrat,60.2,Democrat,45.3152809,-69.203949,Maine,Maine,,Bing Maps,state/province
Maryland,55.5,Democrat,Democrat,46.3,Democrat,62.9,Democrat,Democrat,46.7,Democrat,67,Democrat,Democrat,46.4,Democrat,66.6,Democrat,Democrat,41.7,Democrat,66.4,Democrat,Democrat,54.2,Democrat,38.9525223,-76.7012177,Maryland,Maryland,,Bing Maps,state/province
Massachusetts,59.9,Democrat,Democrat,49.2,Democrat,64.2,Democrat,Democrat,48.8,Democrat,66.8,Democrat,Democrat,48.9,Democrat,65.9,Democrat,Democrat,44.1,Democrat,67.2,Democrat,Democrat,54.6,Democrat,42.1561852,-71.5661926,Massachusetts,Massachusetts,,Bing Maps,state/province
Michigan,59.9,Democrat,Democrat,44.5,Republican,66.6,Democrat,Republican,52.1,Republican,69.2,Democrat,Democrat,44.5,Republican,64.7,Democrat,Republican,42.7,Republican,64.7,Republican,Republican,57.8,Democrat,44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
Minnesota,69.5,Democrat,Democrat,64.1,Democrat,78.4,Democrat,Democrat,60.1,Democrat,77.8,Democrat,Democrat,55.4,Democrat,76,Democrat,Democrat,50.4,Democrat,74.1,Democrat,Democrat,64.2,Democrat,46.3493576,-94.1983719,Minnesota,Minnesota,,Bing Maps,state/province
Mississippi,49.1,Republican,Democrat,30.1,Republican,55.7,Republican,Republican,29.4,Republican,61,Republican,Democrat,37,Republican,59.3,Republican,Republican,29,Republican,55.2,Republican,Republican,42.7,Republican,32.7218018,-89.6562424,Mississippi,Mississippi,,Bing Maps,state/province
Missouri,58.2,Republican,Republican,45.6,Republican,65.3,Republican,Republican,50,Republican,67.6,Republican,Republican,44.5,Republican,62.2,Republican,Republican,31.7,Republican,62.2,Republican,Republican,53.4,Republican,38.3679657,-92.4778824,Missouri,Missouri,,Bing Maps,state/province
Montana,61.6,Republican,Republican,48.4,Republican,64.4,Republican,Republican,56.4,Republican,66.3,Republican,Republican,47.5,Republican,62.5,Republican,Republican,46.9,Republican,61.8,Republican,Republican,62,Republican,47.0334816,-109.6450806,Montana,Montana,,Bing Maps,state/province
Nebraska,56.9,Republican,Republican,39.9,Republican,62.9,Republican,Republican,47.6,Republican,62.9,Republican,Republican,37.5,Republican,60.3,Republican,Republican,40.5,Republican,62.8,Republican,Republican,51.8,Republican,41.5272713,-99.8111038,Nebraska,Nebraska,,Bing Maps,state/province
Nevada,45.2,Republican,Republican,36.2,Republican,55.3,Republican,Republican,36.9,Republican,57,Democrat,Democrat,41.3,Republican,56.4,Democrat,Republican,29.3,Republican,57.4,Democrat,Democrat,47.5,Democrat,39.3564186,-116.6554108,Nevada,Nevada,,Bing Maps,state/province
New Hampshire,63.9,Republican,Republican,48.1,Republican,70.9,Democrat,Republican,41.4,Democrat,71.7,Democrat,Democrat,45.7,Republican,70.2,Democrat,Democrat,47.6,Democrat,71.4,Democrat,Democrat,54.6,Democrat,43.6855278,-71.5775986,New Hampshire,New Hampshire,,Bing Maps,state/province
New Jersey,56.9,Democrat,Democrat,38.1,Democrat,63.8,Democrat,Democrat,39.5,Democrat,67,Democrat,Democrat,36.4,Democrat,61.5,Democrat,Democrat,31.1,Democrat,64.4,Democrat,Democrat,53.1,Democrat,40.1387787,-74.6769104,New Jersey,New Jersey,,Bing Maps,state/province
New Mexico,48.5,Democrat,Republican,38.6,Republican,59,Republican,Republican,42.5,Republican,60.9,Democrat,Democrat,42.8,Democrat,54.6,Democrat,Democrat,35.4,Democrat,54.5,Democrat,Democrat,47.3,Democrat,34.4213219,-106.1084061,New Mexico,New Mexico,,Bing Maps,state/province
New York,55.1,Democrat,Democrat,36.1,Democrat,58,Democrat,Democrat,34.9,Democrat,59,Democrat,Democrat,35.5,Democrat,53.1,Democrat,Democrat,28.2,Democrat,56.8,Democrat,Democrat,45.2,Democrat,42.9370804,-75.6106949,New York,New York,,Bing Maps,state/province
North Carolina,50.7,Republican,Republican,39.7,Republican,57.8,Republican,Republican,31,Democrat,65.5,Democrat,Democrat,39.2,Democrat,64.8,Republican,Republican,40.8,Republican,64.5,Republican,Republican,49.6,Republican,35.5393562,-79.185379,North Carolina,North Carolina,,Bing Maps,state/province
North Dakota,60.3,Republican,Democrat,48.5,Democrat,64.8,Republican,Democrat,44.9,Democrat,62.7,Republican,Democrat,46.2,Republican,59.8,Republican,Republican,43.8,Republican,60.8,Republican,Republican,58.6,Republican,47.4462967,-100.469429,North Dakota,North Dakota,,Bing Maps,state/province
Ohio,56.7,Republican,Republican,38.8,Republican,66.8,Republican,Republican,47.5,Republican,66.9,Democrat,Democrat,44.9,Republican,64.5,Democrat,Republican,35.1,Republican,62.9,Republican,Republican,50.9,Republican,40.4130516,-82.7112198,Ohio,Ohio,,Bing Maps,state/province
Oklahoma,49.9,Republican,Republican,41.2,Republican,58.3,Republican,Republican,36.4,Republican,55.8,Republican,Republican,38.8,Republican,49.2,Republican,Republican,29.9,Republican,52.3,Republican,Republican,42.5,Republican,35.5826988,-97.5086212,Oklahoma,Oklahoma,,Bing Maps,state/province
Oregon,64.9,Democrat,Democrat,50.8,Democrat,72,Democrat,Democrat,52.5,Democrat,67.7,Democrat,Democrat,52.7,Democrat,63.1,Democrat,Democrat,50.9,Democrat,66.2,Democrat,Democrat,61.5,Democrat,43.9388123,-120.5585861,Oregon,Oregon,,Bing Maps,state/province
Pennsylvania,54.1,Democrat,Republican,38.8,Republican,62.6,Democrat,Republican,44.1,Democrat,63.6,Democrat,Democrat,41.7,Republican,59.5,Democrat,Republican,36.1,Republican,63.6,Republican,Republican,51.4,Democrat,40.8965111,-77.8387527,Pennsylvania,Pennsylvania,,Bing Maps,state/province
Rhode Island,54.2,Democrat,Democrat,44.7,Democrat,58.5,Democrat,Democrat,51,Democrat,61.8,Democrat,Democrat,44.8,Democrat,58,Democrat,Democrat,41.7,Democrat,59.1,Democrat,Democrat,48.1,Democrat,41.4887123,-71.4543152,Rhode Island,Rhode Island,,Bing Maps,state/province
South Carolina,47,Republican,Republican,36.9,Republican,53,Republican,Republican,34.6,Republican,58,Republican,Republican,39.7,Republican,56.3,Republican,Republican,34.8,Republican,56.7,Republican,Republican,45.2,Republican,33.9038544,-80.8937683,South Carolina,South Carolina,,Bing Maps,state/province
